-0.00173517, -3.13352e-05,  -0.00017543,  1,  3.0651e-05,  0.00014765,  -4.10105e-05
-0.00369395, -0.000392722,  0.000137152,  1,  -0.00010574,  0.000383585,  -9.54817e-05
-0.00522125, -0.000371296,  0.000418689,  1,  -0.000108255,  0.00056989,  -0.000101071
-0.00644568, 0.000124194,  9.6088e-05,  1,  3.59399e-05,  0.000619811,  -0.000129722
-0.00776214, 0.000639238,  0.000334508,  1,  0.000113437,  0.000721864,  -0.000106537
-0.0092994, 0.000198635,  0.000464304,  1,  2.83839e-05,  0.000841017,  -0.000117564
-0.0104867, 0.000904603,  0.000349057,  1,  0.000181639,  0.000858156,  2.81701e-05
-0.0121265, 0.00153815,  0.000463462,  0.999999,  0.000298289,  0.00104548,  -6.67749e-06
-0.013524, 0.000530289,  0.000196101,  0.999999,  7.8682e-05,  0.00118057,  -7.20771e-05
-0.01388, 0.00253728,  0.000312281,  0.999999,  0.000534074,  0.00101576,  8.88656e-05
-0.0209449, 0.00398441,  0.000395505,  0.999998,  0.000878515,  0.00159222,  0.000103149
-0.0227222, 0.00090575,  5.61898e-05,  0.999999,  0.000223082,  0.00136139,  0.000123965
-0.0256299, 0.00063215,  0.000117074,  0.999999,  0.000212549,  0.0014398,  -0.000111112
-0.0211171, -0.0051941,  -0.000547616,  0.999999,  -0.00111958,  -0.000535206,  0.000290782
-0.0307288, -0.00966833,  -0.0014615,  0.999996,  -0.00188135,  0.00178139,  -0.00061013
-0.0347746, -0.0177271,  -0.00292844,  0.99999,  -0.00356475,  0.00243207,  -0.00110974
-0.035995, -0.020778,  -0.00349621,  0.999987,  -0.00409098,  0.00256708,  -0.00130474
-0.0377962, -0.0268827,  -0.00379067,  0.999981,  -0.0053386,  0.00270438,  -0.00133948
-0.0395253, -0.0346602,  -0.00320042,  0.999972,  -0.00672934,  0.00286233,  -0.00151788
-0.0412132, -0.0401629,  -0.00242995,  0.999963,  -0.0077519,  0.00321495,  -0.00173312
-0.0420946, -0.045977,  -0.00216157,  0.999952,  -0.00898834,  0.00337464,  -0.00179139
-0.043491, -0.0539477,  -0.0026178,  0.999935,  -0.0106575,  0.00368578,  -0.0017431
-0.0437492, -0.0584882,  -0.00235103,  0.999925,  -0.0115557,  0.00378477,  -0.00173147
-0.0440314, -0.0657028,  -0.00254458,  0.999907,  -0.0129283,  0.00390339,  -0.00166503
-0.0436839, -0.070149,  -0.00220018,  0.999896,  -0.0137299,  0.00398648,  -0.00169586
-0.0434294, -0.0748959,  -0.00266072,  0.999885,  -0.0145155,  0.00404076,  -0.00169192
-0.0421969, -0.0806347,  -0.00348908,  0.999869,  -0.0156249,  0.00393925,  -0.00135763
-0.0394888, -0.0876805,  -0.00465674,  0.999848,  -0.0170305,  0.00363068,  -0.000677671
-0.0391089, -0.0895558,  -0.00496382,  0.999843,  -0.017311,  0.00362574,  -0.000469648
-0.0372143, -0.0931235,  -0.00572863,  0.999832,  -0.0180303,  0.00339105,  -2.48592e-05
-0.0349691, -0.0943482,  -0.00625614,  0.999826,  -0.0183925,  0.00314635,  0.000150941
-0.0326437, -0.0971802,  -0.00721062,  0.999816,  -0.0189742,  0.00293556,  0.000401182
